file_name,true_label,emoji_name,pattern,alpha,pred_label,output_text,mode,geometry_seed,placement_seed
15236.jpg,0,none,none,0.0,1,misogynous,with_text,-1,-1
16254.jpg,0,none,none,0.0,0,clean,with_text,-1,-1
15952.jpg,0,none,none,0.0,1,misogynous,with_text,-1,-1
15828.jpg,1,none,none,0.0,1,misogynous,with_text,-1,-1
15971.jpg,1,none,none,0.0,1,misogynous,with_text,-1,-1
15916.jpg,0,none,none,0.0,1,misogynous,with_text,-1,-1
15742.jpg,1,none,none,0.0,1,misogynous,with_text,-1,-1
15037.jpg,1,none,none,0.0,1,misogynous,with_text,-1,-1
15540.jpg,1,none,none,0.0,1,misogynous,with_text,-1,-1
15136.jpg,0,none,none,0.0,1,misogynous,with_text,-1,-1
15846.jpg,1,none,none,0.0,0,clean,with_text,-1,-1
15560.jpg,0,none,none,0.0,0,clean,with_text,-1,-1
15038.jpg,0,none,none,0.0,0,clean,with_text,-1,-1
15457.jpg,1,none,none,0.0,1,misogynous,with_text,-1,-1
16334.jpg,0,none,none,0.0,1,misogynous,with_text,-1,-1
15491.jpg,1,none,none,0.0,1,misogynous,with_text,-1,-1
16232.jpg,1,none,none,0.0,1,misogynous,with_text,-1,-1
16245.jpg,1,none,none,0.0,1,misogynous,with_text,-1,-1
15917.jpg,1,none,none,0.0,1,misogynous,with_text,-1,-1
15115.jpg,1,none,none,0.0,1,misogynous,with_text,-1,-1
16304.jpg,0,none,none,0.0,1,misogynous,with_text,-1,-1
15148.jpg,1,none,none,0.0,1,misogynous,with_text,-1,-1
15005.jpg,0,none,none,0.0,0,clean,with_text,-1,-1
15095.jpg,1,none,none,0.0,1,misogynous,with_text,-1,-1
15888.jpg,0,none,none,0.0,0,clean,with_text,-1,-1
15727.jpg,1,none,none,0.0,1,misogynous,with_text,-1,-1
15839.jpg,0,none,none,0.0,1,misogynous,with_text,-1,-1
15542.jpg,0,none,none,0.0,0,clean,with_text,-1,-1
15996.jpg,0,none,none,0.0,1,misogynous,with_text,-1,-1
15679.jpg,0,none,none,0.0,0,clean,with_text,-1,-1
16055.jpg,1,none,none,0.0,1,misogynous,with_text,-1,-1
15506.jpg,1,none,none,0.0,1,misogynous,with_text,-1,-1
15144.jpg,0,none,none,0.0,1,misogynous,with_text,-1,-1
15684.jpg,1,none,none,0.0,1,misogynous,with_text,-1,-1
15663.jpg,1,none,none,0.0,1,misogynous,with_text,-1,-1
17047.jpg,0,none,none,0.0,1,misogynous,with_text,-1,-1
15438.jpg,0,none,none,0.0,1,misogynous,with_text,-1,-1
16239.jpg,1,none,none,0.0,1,misogynous,with_text,-1,-1
15863.jpg,0,none,none,0.0,1,misogynous,with_text,-1,-1
15743.jpg,0,none,none,0.0,0,clean,with_text,-1,-1
